Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name
X	72255679	72277248	RPS4X
12	108621895	108633894	SELPLG
6	31268749	31272130	HLA-C
11	310041	315272	IFITM1
16	8852942	8869012	CARHSP1
6	33064569	33080775	HLA-DPA1
11	319676	329475	IFITM3
6	32659467	32668383	HLA-DQB1
4	73980811	73982027	PF4
4	73986439	73988190	PPBP
3	12834485	12841582	RPL32
19	17402939	17405630	BST2
19	571277	583494	BSG
17	76265348	76271298	UBALD2
5	181236897	181248096	RACK1
14	90396502	90408268	CALM1
14	21209136	21269494	HNRNPC
1	44775251	44778779	RPS8
12	55725323	55729707	CD63
19	6372794	6375250	ALKBH7
4	672436	674330	ATP5ME
X	49074433	49101170	WDR45
5	177301198	177303744	RAB24
5	177303799	177306949	PRELID1
1	27872543	27886685	THEMIS2
6	42929480	42939294	CNPY3
5	132866630	132868847	UQCRQ
15	34339159	34343180	NOP10
12	56638175	56645984	ATP5F1B
12	56712305	56731628	NACA
19	13774456	13778773	C19orf53
4	89700345	89838315	SNCA
12	53295291	53299452	PFDN5
5	73498408	73505667	BTF3
12	53441678	53446645	PRR13
12	54292111	54301015	NFE2
14	35278633	35317493	PSMA6
12	6491886	6493841	MRPL51
12	6534512	6538374	GAPDH
19	54102728	54109257	NDUFA3
11	62676498	62679117	UBXN1
7	75156639	75172044	NCF1C
1	153974269	153977674	JTB
16	3065297	3082192	IL32
19	54200809	54249003	RPS9
1	153990762	153992155	RPS27
5	172768096	172771195	DUSP1
5	172983771	173035445	ATP6V0E1
19	8413270	8439017	MARCHF2
11	104942866	104969366	CASP4
11	119015712	119018691	RPS25
19	45687460	45692569	SNRPD2
7	74774011	74789315	NCF1
5	150401637	150412969	CD74
12	6965327	6970780	PHB2
5	177315805	177351840	LMAN2
11	67583742	67586656	GSTP1
6	132743870	132763459	VNN2
16	29820394	29848039	MVP
17	44308413	44318670	RUNDC3A
17	44319625	44324870	SLC25A39
19	18531751	18544077	FKBP8
6	31730581	31739763	CLIC1
12	54280193	54287088	HNRNPA1
6	31353872	31367067	HLA-B
5	140631728	140633700	CD14
19	18571730	18577550	UBA52
10	91163012	91284337	PCGF5
8	66920561	66926398	SNHG6
3	49359139	49412998	RHOA
11	64316460	64317559	TRMT112
15	68778535	68820897	ANP32A
5	40825262	40835222	RPL37
X	47651796	47659180	UXT
5	134371184	134392108	UBE2B
17	75038863	75046985	ATP5PD
1	43974487	43978295	ATP6V0B
19	1241746	1244825	ATP5F1D
7	22812628	22822849	TOMM7
17	7012417	7014532	RNASEK
17	7014495	7017525	C17orf49
5	176388751	176389761	HIGD2A
6	32840717	32844679	PSMB8
15	74445977	74461182	UBL7
16	2771414	2777289	ELOB
16	1938229	1943199	MSRB1
16	1959538	1961975	NDUFB10
16	1962058	1964841	RPS2
9	134903232	134917912	FCN1
1	26280086	26281522	SH3BGRL3
1	26317958	26320523	CD52
11	67468174	67491154	AIP
1	226061851	226072019	H3-3A
6	144094884	144095573	SF3B5
2	174719908	174720318	H3P6
15	84669538	84716460	SEC11A
17	7240008	7242449	GABARAP
17	7243591	7252491	CTDNEP1
3	48440257	48444208	TMA7
1	150560895	150579738	MCL1
16	29940885	29973050	TMEM219
15	92886203	93027996	CHD2
14	49570984	49599164	RPS29
5	151029945	151093577	TNIP1
14	49618530	49620626	RPL36AL
19	51371606	51372701	NKG7
9	137110542	137118309	DPP7
6	75237675	75250323	COX7A2
1	42682418	42703805	YBX1
19	54307070	54313166	LILRA5
9	33247820	33264720	BAG1
2	175176258	175181710	ATP5MC3
2	231706895	231713551	PTMA
3	9792495	9807101	ARPC4
1	110401249	110407942	LAMTOR5
15	44711358	44718851	B2M
19	5674947	5691875	RPL36
10	87862638	87971930	PTEN
8	143017982	143023832	LY6E
17	7856685	7885238	NAA38
7	96481626	96709880	SEM1
1	161037631	161038977	TSTD1
6	32577902	32589848	HLA-DRB1
17	74466399	74484794	CD300A
19	5891276	5904006	NDUFA11
8	7015869	7018297	DEFA3
1	39026318	39034636	NDUFS5
19	3976056	3985463	EEF2
19	4090321	4124122	MAP2K2
12	110434823	110450422	ARPC3
15	74919791	74938083	COX5A
5	77691166	77868780	TBCA
7	100148912	100155944	LAMTOR4
12	110491083	110502111	VPS29
19	1259384	1274880	CIRBP
7	102473128	102478922	POLR2J
15	43777087	43804427	SERF2
15	40035690	40039181	SRP14
16	67934506	67936864	PSMB10
7	99374249	99394816	ARPC1B
12	49184686	49189080	TUBA1A
7	99408641	99419616	BUD31
16	88643275	88651083	CYBA
12	56116590	56117967	RPL41
12	56158346	56163496	MYL6
17	41688885	41692668	EIF1
16	30182827	30189076	CORO1A
17	74203582	74210655	RPL38
11	8682788	8714759	RPL27A
16	88809339	88811937	APRT
6	34417454	34426069	RPS10
9	110243810	110256507	TXN
19	39834458	39846379	FBL
16	85798633	85807068	COX4I1
17	31303770	31314105	EVI2B
17	31316410	31321749	EVI2A
2	162318840	162371595	GCA
19	47778677	47784686	SELENOW
11	60172015	60184666	MS4A6A
8	11842524	11869533	CTSB
17	16380798	16382745	UBB
1	150730079	150765957	CTSS
19	48954815	48961798	BAX
1	89106132	89150456	GBP2
1	27612064	27635185	FGR
1	27666064	27672212	IFI6
8	6977649	6980092	DEFA1
1	1001138	1014540	ISG15
11	16974693	16975013	RPL36AP37
11	17074388	17077715	RPS13
12	98593591	98606379	SLC25A3
11	64230278	64234286	DNAJC4
11	65572349	65574198	FAM89B
2	201387858	201480846	STRADB
19	11505929	11529172	ECSIT
7	100367530	100400096	PILRA
12	112013348	112023449	ERP29
6	29941260	29949572	HLA-A
5	134148935	134176964	SKP1
7	6374527	6403967	RAC1
2	55231903	55235853	RPS27A
1	92832013	92841924	RPL5
12	53452102	53481162	PCBP2
19	54572920	54590287	LILRA2
12	53632726	53677408	ATP5MC2
17	4940008	4945222	RNF167
17	4945652	4949061	PFN1
7	73220646	73235787	NCF1B
11	35138882	35232402	CD44
7	73220624	73235945	NCF1B
6	27146361	27146855	H2BC12
19	35648323	35658782	COX6B1
3	127672935	127680926	ABTB1
19	896503	913245	R3HDM4
2	201071433	201085750	NDUFB3
17	47200446	47223679	MYL4
12	14942031	14961728	ARHGDIB
17	27629798	27649560	LGALS9
19	859453	867884	CFD
19	17859910	17864153	RPL18A
12	112405189	112418838	RPL6
16	29806106	29811164	MAZ
16	21597218	21657471	METTL9
5	95751319	95822726	GLRX
7	100574011	100586129	LRCH4
3	150602875	150630436	SELENOT
3	53884417	53891885	SELENOK
2	88857161	88857683	IGKC
12	124911604	124917368	UBC
11	303655	309397	IFITM2
3	48467798	48504826	SHISA5
2	70087477	70089203	PCBP1
3	53224712	53256052	TKT
19	1597169	1605473	UQCR11
19	2269509	2273490	OAZ1
19	7629788	7631956	PET100
19	7636772	7647873	STXBP2
19	35268962	35279821	USF2
12	66135846	66170027	TMBIM4
2	219249710	219277902	TUBA4A
19	41860255	41872925	RPS19
19	41956681	41959321	RABAC1
16	1776712	1793700	SPSB3
1	2555639	2565382	TNFRSF14
19	11551147	11559230	ELOF1
6	89080751	89085160	PNRC1
11	6606294	6612539	TAF10
1	151982915	151993859	S100A10
12	55716038	55720087	BLOC1S1
4	151099624	151104642	RPS3A
19	51745172	51804115	FPR1
12	120196699	120201235	RPLP0
7	127588386	127591700	ARF5
17	58345175	58353093	SUPT4H1
19	48321509	48330553	EMP3
1	158831351	158849506	MNDA
1	15409888	15430339	EFHD2
11	62662817	62672267	LBHD1
11	105041326	105101431	CARD16
17	7548508	7557890	TNFSF12
1	151050971	151070325	CDC42SE1
3	122325248	122341969	CSTA
3	9962682	10011202	EMC3
19	40447765	40465764	BLVRB
3	161429127	161429597	RPL23AP42
3	197950190	197956610	RPL35A
12	8123617	8138607	CLEC4A
11	118401346	118433278	ATP5MG
1	153534599	153536244	S100A6
1	153543613	153550136	S100A4
19	58386400	58394806	RPS5
1	36391238	36397908	LSM10
11	118339075	118342705	CD3D
11	105025397	105035250	CASP1
12	6328757	6342114	TNFRSF1A
11	65120630	65122177	FAU
12	122980060	122982913	ARL6IP4
2	119366924	119372550	DBI
3	40457292	40468587	RPL14
19	39731255	39738029	CLC
19	45506579	45526989	VASP
1	152032506	152047907	S100A11
12	47205893	47216487	PCED1B-AS1
19	10333776	10339661	ICAM3
19	1103982	1106791	GPX4
11	68039025	68050895	TCIRG1
3	39406716	39426255	RPSA
17	16438767	16480249	SNHG29
19	46838136	46850846	AP2S1
2	27070472	27071654	OST4
11	124739942	124747210	NRGN
2	97646062	97648383	COX5B
2	218162841	218166962	CXCR1
2	218217141	218254356	ARPC2
1	112701127	112707434	RHOC
2	218382029	218396894	SLC11A1
2	85561562	85582031	VAMP8
2	85595725	85597708	RNF181
2	85685175	85698852	GNLY
19	8520778	8577442	MYO1F
3	49357174	49358605	GPX1
1	202940826	202958572	ADIPOR1
3	101681091	101686733	RPL24
17	7572824	7579006	EIF4A1
2	216498825	216579180	RPL37A
1	183620846	183635783	ARPC5
17	82440912	82450829	CYBC1
1	111448864	111462773	ATP5PB
1	111473792	111478512	C1orf162
1	86862445	86914424	SELENOF
17	44345246	44353106	GRN
1	11736084	11754802	AGTRAP
11	118193725	118225092	JAML
2	218125289	218137251	CXCR2
17	59707192	59842255	VMP1
11	72754729	72794047	STARD10
11	61959718	61967634	FTH1
17	38847860	38853764	RPL23
3	23916591	23924374	RPL15
2	27771717	27988087	MRPL33
3	33114014	33147773	CRTAP
2	47160084	47176921	CALM2
11	47354860	47409369	SPI1
3	120596328	120602507	NDUFB4
1	154206696	154220637	C1orf43
1	156054782	156058506	LAMTOR2
1	84498323	84506581	GNG5
1	183554461	183590905	NCF2
1	192809039	192812275	RGS2
1	153357854	153361023	S100A9
1	153373711	153375621	S100A12
1	153390032	153391073	S100A8
2	87454781	87636740	CYTOR
1	150149183	150164720	PLEKHO1
1	7954291	7985505	PARK7
1	161505430	161524013	FCGR2A
1	161623196	161631963	FCGR3B
1	173858559	173868882	GAS5
1	151364304	151372707	SELENBP1
1	151399560	151401937	PSMB4
1	633696	634376	MTATP6P1
1	8861000	8879190	ENO1
2	218397136	218405941	CTDSP1
2	206159585	206162928	EEF1B2
1	6185020	6209389	RPL22
1	228139962	228148984	GUK1
1	26472440	26476642	HMGN2
1	46303698	46316776	UQCRH
1	17018664	17054032	SDHB
1	36466043	36483278	CSF3R
1	28236109	28246906	ATP5IF1
1	54026681	54053504	TMEM59
1	30732469	30757774	LAPTM5
